"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"760","Fbxo33",0.00261426644786505,-1.40829109805294,0.272,0.5,0.0258374903251548,"Fbxo33"
"761","Aqr",0.00507558760377606,-1.41671903907661,0.826,0.917,0.0440916203958445,"Aqr"
"762","Ramac",1.74102004092823e-05,-1.41786385687778,0.583,0.833,0.000355163238711362,"Ramac"
"763","Fuca1",0.000713864765022235,-1.41994522234077,0.494,0.708,0.00898594397332888,"Fuca1"
"764","Brd2",5.24038950434523e-05,-1.42305712112027,0.86,0.875,0.000966700063855725,"Brd2"
"765","Polr2a",2.01816254680756e-09,-1.44013540006905,0.87,1,7.82011291616145e-08,"Polr2a"
"766","S100a11",4.1019480597839e-08,-1.49448621935459,0.687,0.875,1.20887793222646e-06,"S100a11"
"767","Pnp",3.21528868441488e-07,-1.49877014382886,0.885,0.958,8.76945253373203e-06,"Pnp"
"768","Nodal",0.000311928580564036,-1.49955405199686,0.524,0.75,0.00456425366585558,"Nodal"
"769","Psme1",0.000595213536715641,-1.50353632348096,0.402,0.667,0.00802032444551425,"Psme1"
"770","Tuba1c",0.000135968941959036,-1.50818531803166,0.626,0.875,0.00217892460927134,"Tuba1c"
"771","Derl2",2.32977104847576e-06,-1.53989601900632,0.444,0.792,5.76421563294331e-05,"Derl2"
"772","Pdcl",0.000146726207334933,-1.55491825920004,0.343,0.625,0.00233090971674053,"Pdcl"
"773","Atg14",0.00248728617383513,-1.5634411854653,0.396,0.667,0.0247495112691325,"Atg14"
"774","Gabarapl2",1.69848378862151e-07,-1.56411759727933,0.979,1,4.78417154844986e-06,"Gabarapl2"
"775","Fbxo30",0.000650396940109474,-1.58962064517227,0.363,0.625,0.00857458504210933,"Fbxo30"
"776","H1fx",0.000255168397394107,-1.59515689381811,0.649,0.792,0.00384511472904474,"H1fx"
"777","Tigd2",0.00428698993163142,-1.59572820639781,0.299,0.5,0.038451648211026,"Tigd2"
"778","Uimc1",0.000506104917235352,-1.60549677143089,0.395,0.667,0.00698014945644652,"Uimc1"
"779","Selenom",4.14077787539433e-06,-1.61094962602605,0.419,0.792,0.000100082464588945,"Selenom"
"780","Tex19.1",0.000270457942239648,-1.61601844908225,0.653,0.833,0.00404637127679687,"Tex19.1"
