"logFC","isDE","Transcript_Name"
"3.6169918386144202","Up","RMER21A"
"3.3815862789502198","Up","RMER19A"
"6.1914629598894697","Up","Gm7682"
"4.2594681150302396","Up","MLTR31D_MM"
"3.35034174110563","Up","P4ha2"
"4.2047444710326003","Up","LTR33"
"4.7427306284400901","Up","Tmem72"
"9.3699441972729893","Up","Igkv10-96"
"4.9361197567847803","Up","Gm44660"
"3.1087897644992601","Up","MYSERV6-int"
"3.94285055632177","Up","AC151602.15"
"5.24111214861425","Up","Pou6f2"
"6.76139416743663","Up","Clpsl2"
"4.7769684804740598","Up","Gm9458"
"4.27914665276524","Up","Sfxn4"
"6.9599992344681603","Up","Gm44416"
"3.1397284950814299","Up","ORR1C1"
"5.1819857156352196","Up","Gm11292"
"5.0603388975374797","Up","IAPLTR3"
"5.1175699319174104","Up","Gm5773"
"3.1174917071528201","Up","Snw1"
"3.4866751000792799","Up","RLTR25A"
"3.4459539997590598","Up","MLT1A"
"3.85315627785707","Up","IAPLTR3-int"
"4.1284891800636698","Up","IAP1-MM_LTR"
"4.5042088260158","Up","Ephb1"
"5.2625988148316001","Up","Gm10807"
"5.7802629492597699","Up","Gria1"
"3.4199174407869499","Up","L1MCa"
"4.3868154347337001","Up","IAPEY3C_LTR"
"3.5632970589144901","Up","RLTR13C2"
"3.0448315287764101","Up","ORR1A4"
"2.96536487985622","Up","ORR1D1"
"3.3983260605669501","Up","RMER20B"
"3.4834705163306601","Up","Slc35e3"
"3.26675171590706","Up","Slc27a2"
"3.06699978190432","Up","RMER17C"
"4.5302033335065399","Up","Gm42879"
"4.8952642475155796","Up","A930014E10Rik"
"3.40636361766625","Up","L1MA8"
"4.2264349656541604","Up","RMER17A-int"
"4.9733994598409303","Up","Slc25a18"
"5.0485490217271796","Up","RLTR6_Mm"
"5.5402170462108398","Up","Gm12714"
"3.2625956388428499","Up","Sfi1"
"5.3671329217684001","Up","1700093K21Rik"
"5.7315391597353704","Up","Gm4981"
"5.9164765448881997","Up","Gm26691"
"4.6859884728051302","Up","Rsg1"
"5.1323959872999403","Up","Scpep1os"
"3.0912315165928201","Up","MTD-int"
"5.6281604158288401","Up","Gm21319"
"3.5623537610040201","Up","RLTR24"
"3.7901437131588498","Up","MLTR18C_MM"
"4.08510357695382","Up","IAPEY3_LTR"
"6.3062752636736104","Up","Obox1"
"5.8598181954433004","Up","Gm17535"
"5.7496700534361","Up","Klhdc1"
"4.3867392532680203","Up","Nrsn1"
"3.3564507722816899","Up","Dhcr7"
"6.0247560078975297","Up","AU015228"
"2.9902882691850299","Up","MTE2a"
"3.2789025920324799","Up","1110059E24Rik"
"5.9209765916287704","Up","Gm29125"
"5.0344029822484497","Up","Gm11545"
"5.6963941884562299","Up","Gm44593"
